segment_type,segment_value,total_sessions,sessions_view,sessions_cart,sessions_checkout,sessions_purchase,reach_view_pct,reach_cart_pct,reach_checkout_pct,reach_purchase_pct,step_conv_view_to_cart_pct,step_conv_cart_to_checkout_pct,step_conv_checkout_to_purchase_pct,leak_after_view_pct,leak_after_cart_pct,leak_after_checkout_pct,checkout_without_cart_pct,purchase_without_cart_pct,view_leak_sessions,share_of_total_view_leak_pct
country,Germany,1943,420,25,77,24,21.62,1.29,3.96,1.24,5.95,60.0,31.17,94.05,40.0,68.83,77.92,75.0,395,1.66
country,United Kingdom,3445,793,58,130,42,23.02,1.68,3.77,1.22,7.31,36.21,32.31,92.69,63.79,67.69,78.46,76.19,735,3.09
country,China,1779,424,34,67,22,23.83,1.91,3.77,1.24,8.02,32.35,32.84,91.98,67.65,67.16,79.1,77.27,390,1.64
country,Taiwan,1754,449,36,72,25,25.6,2.05,4.1,1.43,8.02,41.67,34.72,91.98,58.33,65.28,76.39,72.0,413,1.74
country,Spain,2100,470,38,101,30,22.38,1.81,4.81,1.43,8.09,42.11,29.7,91.91,57.89,70.3,80.2,73.33,432,1.82
country,Canada,8013,1980,170,344,135,24.71,2.12,4.29,1.68,8.54,38.24,39.24,91.46,61.76,60.76,77.33,76.3,1811,7.63
country,India,10246,2501,215,417,147,24.41,2.1,4.07,1.43,8.6,36.74,35.25,91.4,63.26,64.75,77.46,78.23,2286,9.63
country,Italy,1497,382,33,50,13,25.52,2.2,3.34,0.87,8.64,21.21,26.0,91.36,78.79,74.0,80.0,100.0,349,1.47
country,United States,47649,11425,1007,2050,722,23.98,2.11,4.3,1.52,8.78,39.32,35.22,91.22,60.68,64.78,75.8,70.5,10422,43.88
country,France,2147,481,49,93,38,22.4,2.28,4.33,1.77,10.19,30.61,40.86,89.81,69.39,59.14,79.57,78.95,432,1.82
device,mobile,43201,10353,871,1856,676,23.96,2.02,4.3,1.56,8.36,39.49,36.31,91.64,60.51,63.69,77.53,72.34,9487,39.95
device,tablet,2380,574,48,98,32,24.12,2.02,4.12,1.34,8.36,25.0,32.65,91.64,75.0,67.35,80.61,75.0,526,2.21
device,desktop,62820,15016,1282,2631,909,23.9,2.04,4.19,1.45,8.52,38.46,34.55,91.48,61.54,65.45,76.93,74.26,13737,57.84
source_group,direct_or_none,25050,5917,473,1009,351,23.62,1.89,4.03,1.4,7.96,41.86,34.79,92.04,58.14,65.21,75.82,73.79,5446,22.93
source_group,google_organic,33161,7879,634,1334,398,23.76,1.91,4.02,1.2,8.02,33.91,29.76,91.98,66.09,70.24,79.24,73.62,7247,30.51
source_group,google_paid,4449,1103,90,175,52,24.79,2.02,3.93,1.17,8.16,35.56,29.71,91.84,64.44,70.29,77.71,69.23,1013,4.27
source_group,referral,9274,2277,204,449,199,24.55,2.2,4.84,2.15,8.87,45.59,44.32,91.13,54.41,55.68,77.28,72.86,2075,8.74
source_group,placeholder_or_deleted,36467,8767,800,1618,617,24.04,2.19,4.44,1.69,9.1,38.88,38.07,90.9,61.12,61.93,76.45,73.74,7969,33.55
user_type,returning,14978,4950,323,1005,574,33.05,2.16,6.71,3.83,6.51,51.08,57.11,93.49,48.92,42.89,83.08,81.53,4628,19.49
user_type,new_in_period,93423,20993,1878,3580,1043,22.47,2.01,3.83,1.12,8.91,36.42,29.08,91.09,63.58,70.92,75.61,69.03,19122,80.51
